iter	Logloss
0	0.6819102807
1	0.671000808
2	0.6613796119
3	0.6509070328
4	0.6411226122
5	0.6316500523
6	0.6222220555
7	0.6132368917
8	0.6046237311
9	0.595705697
10	0.587478163
11	0.5796277857
12	0.5717119408
13	0.5643516414
14	0.5567958134
15	0.5492494763
16	0.5425648998
17	0.5354083471
18	0.5284145766
19	0.5214278597
20	0.5146323097
21	0.5085283603
22	0.5021062909
23	0.496002094
24	0.4902735868
25	0.4847168574
26	0.4789515864
27	0.474000963
28	0.4685725772
29	0.463554155
30	0.4585783169
31	0.4538228816
32	0.4490578436
33	0.4446895512
34	0.4400146186
35	0.4357325205
36	0.4314381468
37	0.4273185044
38	0.4232594706
39	0.419280972
40	0.4152164916
41	0.4115950512
42	0.4079967409
43	0.4047558001
44	0.4012944558
45	0.3979726555
46	0.3946266097
47	0.3914700338
48	0.3884299269
49	0.3852011365
50	0.3822958937
51	0.3794903125
52	0.3766449298
53	0.3741560949
54	0.3715189495
55	0.3689825715
56	0.3666271035
57	0.3640437505
58	0.3614275802
59	0.3592137315
60	0.3568489782
61	0.3547366598
62	0.3524725679
63	0.35040979
64	0.3485460697
65	0.3464658264
66	0.3444187893
67	0.3425564795
68	0.3406041634
69	0.3386587434
70	0.3370347494
71	0.3352054936
72	0.333429064
73	0.3316559475
74	0.3300252259
75	0.3281928522
76	0.3265878218
77	0.3249642822
78	0.323529169
79	0.3220077589
80	0.3205358048
81	0.3191996627
82	0.3180325847
83	0.3167057713
84	0.3155181182
85	0.3142735885
86	0.3129217908
87	0.3116784786
88	0.3105129136
89	0.3094084527
90	0.3082882891
91	0.3071691927
92	0.3062623534
93	0.3052381817
94	0.3041323791
95	0.3030433878
96	0.3020989706
97	0.3010557711
98	0.3001443837
99	0.2991879846
100	0.2983151905
101	0.2973389328
102	0.2966041986
103	0.2957603021
104	0.2949516353
105	0.2941527955
106	0.2933900659
107	0.2925927934
108	0.2918134549
109	0.2910170807
110	0.2904407014
111	0.2896939734
112	0.2889240337
113	0.2882700961
114	0.287568439
115	0.2868472884
116	0.286351318
117	0.2857290278
118	0.2851075003
119	0.2844168753
120	0.2839675225
121	0.2833280398
122	0.2827610542
123	0.2821841124
124	0.2815647413
125	0.2810049179
126	0.2804846444
127	0.2799218558
128	0.279530662
129	0.2790759645
130	0.2785626704
131	0.278018624
132	0.2776849828
133	0.2773586558
134	0.2769209545
135	0.2764378412
136	0.2760369609
137	0.2756039938
138	0.2751506599
139	0.2747838367
140	0.2742951194
141	0.2738474352
142	0.2735121147
143	0.2731397951
144	0.2727234179
145	0.2723217568
146	0.2719369194
147	0.2716130275
148	0.2712417722
149	0.2709331909
150	0.2705896222
151	0.2702428987
152	0.2698842075
153	0.2695250688
154	0.2692030475
155	0.2688683957
156	0.2685840556
157	0.2682732571
158	0.2679933963
159	0.2677112563
160	0.267445642
161	0.2671359443
162	0.2668394586
163	0.2665675327
164	0.2662922398
165	0.2660257482
166	0.2658025793
167	0.2655166907
168	0.265266957
169	0.265060216
170	0.264805196
171	0.2645785128
172	0.2643369291
173	0.2641105646
174	0.2638685753
175	0.2636527218
176	0.2634246314
177	0.2631972758
178	0.2629736523
179	0.2627837356
180	0.2625747944
181	0.2623774283
182	0.2621966543
183	0.262017578
184	0.2618117588
185	0.2616426203
186	0.261449209
187	0.2612879112
188	0.2611229484
189	0.2609418236
190	0.260792391
191	0.2606237069
192	0.2604773422
193	0.2603173102
194	0.260195842
195	0.2600330047
196	0.2598872307
197	0.2597187126
198	0.2595598655
199	0.2594237202
200	0.2592857671
201	0.2591594061
202	0.2589930733
203	0.2588549802
204	0.2587218221
205	0.2586100854
206	0.2584985794
207	0.2583641885
208	0.2582422401
209	0.2581102237
210	0.257981423
211	0.2578641784
212	0.2577383494
213	0.257607812
214	0.2574811541
215	0.2573469675
216	0.2572198674
217	0.2571609631
218	0.2570571974
219	0.2569541462
220	0.2568446518
221	0.2567322218
222	0.2566339652
223	0.2565280239
224	0.2564314625
225	0.2563441808
226	0.2562485253
227	0.2561694055
228	0.2560769294
229	0.2559817308
230	0.2558893045
231	0.2557991719
232	0.2557045694
233	0.2556235938
234	0.2555349053
235	0.2554413114
236	0.2553481363
237	0.2552554237
238	0.2551692873
239	0.2550835251
240	0.2550014092
241	0.2549165808
242	0.2548356975
243	0.2547577023
244	0.2546789777
245	0.2546105001
246	0.2545306989
247	0.2544577316
248	0.25439152
249	0.2543149193
250	0.2542381799
251	0.254161152
252	0.25408257
253	0.2540095965
254	0.2539336362
255	0.2538693024
256	0.253798617
257	0.2537304009
258	0.2536650341
259	0.2536053658
260	0.2535359915
261	0.2534605637
262	0.2533968365
263	0.25333457
264	0.2532645282
265	0.2531999031
266	0.253135163
267	0.2530729278
268	0.2530203738
269	0.2529624368
270	0.2528989889
271	0.2528385116
272	0.2527855967
273	0.2527263819
274	0.2526702202
275	0.2526142474
276	0.2525605295
277	0.2525135759
278	0.2524655675
279	0.252410196
280	0.2523567248
281	0.2523013934
282	0.2522445682
283	0.2521934752
284	0.2521340659
285	0.2520776827
286	0.2520192233
287	0.2519684344
288	0.2519249942
289	0.2518807834
290	0.2518257123
291	0.2517725327
292	0.2517284295
293	0.2516882597
294	0.2516390882
295	0.2515907388
296	0.2515521622
297	0.251511755
298	0.2514611804
299	0.2514110659
300	0.2513593429
301	0.2513219381
302	0.251281295
303	0.251228156
304	0.2511919732
305	0.2511492999
306	0.2511054041
307	0.2510620942
308	0.2510127352
309	0.2509741437
310	0.2509294619
311	0.250880643
312	0.2508432978
313	0.2508020527
314	0.2507536283
315	0.2507166159
316	0.2506712083
317	0.2506379813
318	0.2506011831
319	0.2505698723
320	0.2505292425
321	0.2504878008
322	0.250449274
323	0.2504153366
324	0.2503807433
325	0.2503501435
326	0.2503084255
327	0.2502741275
328	0.2502395014
329	0.2502022437
330	0.2501676128
331	0.250129964
332	0.2500934246
333	0.2500569679
334	0.2500198585
335	0.2499867445
336	0.2499596751
337	0.2499260675
338	0.2498984462
339	0.2498551867
340	0.24982284
341	0.2497897001
342	0.24974751
343	0.2497173908
344	0.2496813486
345	0.2496485177
346	0.2496133801
347	0.2495894551
348	0.2495574992
349	0.2495194767
350	0.2494825368
351	0.249450059
352	0.2494198924
353	0.2493881154
354	0.2493525633
355	0.2493232396
356	0.2492907667
357	0.2492609699
358	0.2492346037
359	0.249203569
360	0.2491823011
361	0.2491525807
362	0.249124496
363	0.2490986922
364	0.2490691844
365	0.2490426195
366	0.2490048024
367	0.2489698714
368	0.2489352283
369	0.2488980213
370	0.2488703979
371	0.2488417062
372	0.2488104211
373	0.2487743018
374	0.2487462163
375	0.2487243164
376	0.2487038496
377	0.2486700093
378	0.2486461765
379	0.2486183173
380	0.2485861952
381	0.2485608227
382	0.2485328953
383	0.2485086072
384	0.2484768352
385	0.2484491952
386	0.2484219727
387	0.2483931635
388	0.2483773481
389	0.2483511481
390	0.2483265189
391	0.2482990844
392	0.2482634799
393	0.248238451
394	0.248217549
395	0.2481999838
396	0.2481808252
397	0.2481539389
398	0.248130293
399	0.2481036219
400	0.2480830393
401	0.2480533444
402	0.248027989
403	0.2479986433
404	0.2479735493
405	0.2479498124
406	0.2479225036
407	0.2478975312
408	0.247876947
409	0.2478483246
410	0.2478285342
411	0.2478027062
412	0.2477782685
413	0.2477467372
414	0.2477194336
415	0.247700238
416	0.2476784357
417	0.2476554193
418	0.2476287039
419	0.2476159225
420	0.2475972627
421	0.2475740176
422	0.2475526613
423	0.2475261485
424	0.2475064061
425	0.2474933249
426	0.2474763724
427	0.2474551373
428	0.2474337965
429	0.2474040254
430	0.2473915319
431	0.2473709614
432	0.2473421642
433	0.2473218978
434	0.2472982631
435	0.2472726179
436	0.2472501672
437	0.2472270006
438	0.2472055914
439	0.2471826921
440	0.2471580683
441	0.2471369415
442	0.2471168531
443	0.2471009606
444	0.2470773537
445	0.2470589941
446	0.2470382655
447	0.2470165264
448	0.2469985936
449	0.2469810034
450	0.2469605899
451	0.2469376959
452	0.2469129633
453	0.2468963804
454	0.2468781277
455	0.246855974
456	0.2468281232
457	0.2468084743
458	0.2467860812
459	0.2467651388
460	0.2467500231
461	0.2467216947
462	0.2467066062
463	0.2466889482
464	0.2466752822
465	0.2466557711
466	0.2466317936
467	0.2466068289
468	0.2465878054
469	0.2465695083
470	0.2465417026
471	0.2465267194
472	0.2465092272
473	0.2464903532
474	0.2464685
475	0.2464561849
476	0.2464435779
477	0.2464296723
478	0.2463993794
479	0.2463743651
480	0.246351133
481	0.2463371242
482	0.2463144738
483	0.246304332
484	0.2462891366
485	0.2462707548
486	0.2462572952
487	0.2462452284
488	0.2462282894
489	0.2462076643
490	0.2461882175
491	0.2461678208
492	0.2461504807
493	0.2461280359
494	0.2461171885
495	0.2460899579
496	0.2460682185
497	0.2460542965
498	0.2460319334
499	0.2460118585
500	0.2459954578
501	0.2459786447
502	0.2459615125
503	0.2459367626
504	0.2459198644
505	0.245907074
506	0.2458899713
507	0.2458679717
508	0.2458529445
